

 Method:DELETE, Route:/students/3, user-agent:Thunder Client (https://www.thunderclient.com)
 Method:POST, Route:/students/addstudent, user-agent:Thunder Client (https://www.thunderclient.com)
 Method:POST, Route:/students/addstudent, user-agent:Thunder Client (https://www.thunderclient.com)
 Method:DELETE, Route:/students/1, user-agent:Thunder Client (https://www.thunderclient.com)
 Method:DELETE, Route:/students/2, user-agent:Thunder Client (https://www.thunderclient.com)
 Method:GET, Route:/students, user-agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
 Method:GET, Route:/favicon.ico, user-agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
 Method:GET, Route:/students, user-agent:Thunder Client (https://www.thunderclient.com)
 Method:DELETE, Route:/students/2, user-agent:Thunder Client (https://www.thunderclient.com)
 Method:DELETE, Route:/students/2, user-agent:Thunder Client (https://www.thunderclient.com)
 Method:DELETE, Route:/students/2, user-agent:Thunder Client (https://www.thunderclient.com)
 Method:DELETE, Route:/students/2, user-agent:Thunder Client (https://www.thunderclient.com)
 Method:DELETE, Route:/students/2, user-agent:Thunder Client (https://www.thunderclient.com)
 Method:GET, Route:/students/, user-agent:Thunder Client (https://www.thunderclient.com)
 Method:GET, Route:/students/1, user-agent:Thunder Client (https://www.thunderclient.com)
 Method:GET, Route:/students/2, user-agent:Thunder Client (https://www.thunderclient.com)
 Method:GET, Route:/students/3, user-agent:Thunder Client (https://www.thunderclient.com)
 Method:POST, Route:/students/addstudent, user-agent:Thunder Client (https://www.thunderclient.com)
 Method:POST, Route:/students/5, user-agent:Thunder Client (https://www.thunderclient.com)
 Method:PATCH, Route:/students/5, user-agent:Thunder Client (https://www.thunderclient.com)
 Method:PATCH, Route:/students/5, user-agent:Thunder Client (https://www.thunderclient.com)
 Method:PATCH, Route:/students/5, user-agent:Thunder Client (https://www.thunderclient.com)
 Method:DELETE, Route:/students/5, user-agent:Thunder Client (https://www.thunderclient.com)
